"obsno" "papno" "treat"   "level" "n.amb" "mean.amb"  "sd.amb" "n.elev" "mean.elev" "sd.elev"
    21      44   "fert"      "hi"       5      3.945  1.115797        3      6.8169  1.769982
    22      44   "fert" "control"       5     2.2512 0.3275839        5      2.5961 0.6674662
    27     121   "none"        ""       5       1.93     0.552        5        2.99     0.856
    32     121   "none"        ""       5       6.62     1.631        5        5.91     1.742
    35     121   "none"        ""       4        4.1     1.257        4        4.61     1.407
    38     121   "none"        ""       3       6.42     2.026        5       10.78     1.163
    44     159   "none"        ""       3      127.3   47.4582        3       153.5   27.1932
    63     183   "none"        ""       3     1140.6    82.965        3        1439   142.028
    86     209   "fert"      "hi"      20      144.1      25.7       20       183.6     39.06
    87     209   "fert" "control"      16      59.94     14.28       16       71.72      14.3
    95     210   "none"        ""      23       28.2      11.9       20        45.8      15.8
    96     210   "none"        ""      24       60.5        14       24        72.5        15
   120     290   "none"        ""       8       46.4      13.1        8        59.1      12.9
   125     290   "none"        ""       8        4.2         1        8         4.9       1.9
   130     290   "none"        ""       8       18.5       8.1        8          19       5.4
   163     468   "none"        ""       5        136        35        5         146        10
   170     470   "none"        ""      12       90.4        36       12         129        59
   182     503   "none"        ""       5       6.81      1.57        5        6.91      3.22
   208     505   "fert"      "hi"       5      14.62     2.294        5       17.89    10.185
   209     505   "fert" "control"       5      11.18     5.749        5       14.68     5.013
   230     506   "fert"      "hi"       5      54.03      1.62        5       63.97      7.66
   231     506   "fert" "control"       5       4.93      1.35        5        6.01      1.02
   236     510   "none"        ""       6        8.2    3.3558        6       14.15    8.6467
   242     510   "none"        ""      10       1.33    0.1897       10         2.2    0.4111
   254     550   "none"        ""      22      14.94    0.8443       22       23.11    0.8443
   256     553  "ozone"      "hi"       6      235.5        15        6       262.1      16.4
   257     553  "ozone"     "low"       6      236.4       7.5        6       273.3        14
   267     582   "none"        ""       4       8.81      2.06        4       10.14      2.52
   277     582   "none"        ""       4      13.22      1.94        4       15.72      2.76
   287     582   "none"        ""       4        9.8      2.06        4        9.01      2.58
   296     582   "none"        ""       4       18.6      2.34        4       21.33      3.06
   306     582   "none"        ""       4      12.18      2.46        4       14.68      2.82
   313     596   "none"        ""      10        5.3     6.625       10        8.36     3.915
   320     596   "none"        ""      10        3.6     3.026       10        7.91     1.809
   327     596   "none"        ""      10       4.98     3.937       10       12.45     6.944
   334     596   "none"        ""      10       4.01     2.106       10        7.84     3.324
   343     666    "uvb"      "hi"      10    0.07382  0.083294       10     0.09316  0.071404
   344     666    "uvb"     "low"      10    0.41117  0.255702       10     0.59046  0.410369
   392    2003   "temp"      "hi"       2       3.83    0.1414        2        4.77     0.198
   393    2003   "temp"     "low"       2        3.4    0.0566        2        3.74    0.0424
   394    2003  "ozone"      "hi"       2        2.4     0.014        2        3.15     0.297
   395    2003  "ozone"     "low"       2       3.17     0.424        2        3.78     0.424
   410    2026   "temp"      "hi"      16        1.7      0.32       16        2.15      0.36
   411    2026   "temp"     "low"      16       1.66      0.28       16        1.76      0.28
   441    2037   "fert"     "low"       2      32.99     5.375        2       47.38     5.015
   442    2037  "light"     "low"       2        221    32.542        2      258.53    50.315
   443    2037 "fert+l"        ""       2     396.31    41.697        2      482.04    14.801
   444    2037   "fert"     "low"       2       44.8     7.879        2       30.59     2.152
   445    2037  "light"     "low"       2      44.93    11.845        2       172.4    23.678
   446    2037 "fert+l"        ""       2     187.67    26.635        2      277.46    14.834
   447    2037   "fert"     "low"       2       18.8     4.668        2       23.08     4.294
   448    2037  "light"     "low"       2     109.07    29.574        2       196.8    26.614
   449    2037 "fert+l"        ""       2     168.88    20.734        2      254.39    32.624
   450    2037   "fert"     "low"       2      29.36     3.943        2        31.1     1.073
   451    2037  "light"     "low"       2     161.05     8.876        2         186    17.729
   452    2037 "fert+l"        ""       2     232.69    17.897        2      232.37     8.867
   453    2037   "fert"     "low"       2       23.2     1.078        2       25.19     2.151
   454    2037  "light"     "low"       2     114.68    26.625        2       120.8    20.773
   455    2037 "fert+l"        ""       2     168.74     26.83        2      262.77    17.832
   456    2037   "fert"     "low"       2      26.49      1.79        2       38.36     3.215
   457    2037  "light"     "low"       2     161.74    14.856        2      178.33    11.833
   458    2037 "fert+l"        ""       2     180.48    11.867        2      186.26    11.834
   479    2039   "fert"      "hi"       5         76     6.708        5         113     4.472
   480    2039   "fert"     "low"       5         60     8.944        5          75     8.944
   523    2045    "h2o"      "ww"      48      3.862    1.4272       48       4.773    2.1477
   524    2045    "h2o"     "drt"      48       2.49    0.6582       48       3.272    0.9215
   525    2045   "fert"      "hi"      48      4.031    1.2956       48       5.249    1.6628
   526    2045   "fert"     "low"      48       2.35     0.582       48       2.798    0.5958
   547    2048    "uvb"      "hi"      10      0.243     0.118       10       0.333     0.147
   548    2048    "uvb"     "low"      10      0.443      0.13       10        0.64     0.154
   561    2048    "uvb"      "hi"      10      0.328     0.127       10       0.498     0.163
   562    2048    "uvb"     "low"      10       0.55     0.112       10       0.824     0.234
   575    2048    "uvb"      "hi"      10      0.599     0.132       10       0.843     0.234
   576    2048    "uvb"     "low"      10      0.842     0.151       10       1.533     0.395
   614    2110   "fert"      "hi"       5      381.6   64.3988        5       562.8   62.3863
   615    2110   "fert"     "low"       5      298.2   96.3745        5       374.4  109.5673
   623    2117   "temp"      "hi"       2      0.971    0.0255        2       1.092    0.0297
   624    2117   "temp"     "low"       2      0.975    0.0127        2        1.12    0.0141
   636    2117   "temp"      "hi"       2       5.95     0.198        2        6.91    0.3111
   637    2117   "temp"     "low"       2       5.78     0.099        2        6.94    0.4243
