author,year,resp.h,fail.h,drop.h,resp.p,fail.p,drop.p
Arvanitis,1997,25,25,2,18,33,0
Beasley,1996,29,18,22,20,14,34
Bechelli,1983,12,17,1,2,28,1
Borison,1992,3,9,0,0,12,0
Chouinard,1993,10,11,0,3,19,0
Durost,1964,11,8,0,1,14,0
Garry,1962,7,18,1,4,21,1
Howard,1974,8,9,0,3,10,0
Marder,1994,19,45,2,14,50,2
Nishikawa,1982,1,9,0,0,10,0
Nishikawa,1984,11,23,3,0,13,0
Reschke,1974,20,9,0,2,9,0
Selman,1976,17,1,11,7,4,18
Serafetinides,1972,4,10,0,0,13,1
Simpson,1967,2,14,0,0,7,1
Spencer,1992,11,1,0,1,11,0
Vichaiya,1971,9,20,1,0,29,1
